Date,Sales,DayOfWeek,Month,Day,Year,Quarter,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,Temperature,IsHoliday,Promotion,DaysSinceLastPromo,Product_Category,Store_ID,CustomerCount
2022-03-15,971.56,1,3,15,2022,1,11,0,0,0,0,0,58.2,0,0,1,Home,S001,199
2022-03-16,938.9,2,3,16,2022,1,11,0,0,0,0,0,55.8,0,0,2,Food,S002,179
2022-03-17,942.89,3,3,17,2022,1,11,0,0,0,0,0,67.8,0,0,3,Electronics,S001,169
2022-03-18,1023.56,4,3,18,2022,1,11,0,0,0,0,0,61.1,0,0,4,Food,S003,215
2022-03-19,1196.01,5,3,19,2022,1,11,1,0,0,0,0,73.7,0,0,5,Clothing,S001,250
2022-03-20,1206.85,6,3,20,2022,1,11,1,0,0,0,0,74.2,0,1,0,Food,S002,242
2022-03-21,1017.33,0,3,21,2022,1,12,0,0,0,0,0,70.1,0,0,1,Home,S003,198
2022-03-22,980.35,1,3,22,2022,1,12,0,0,0,0,0,63.4,0,1,0,Clothing,S002,208
2022-03-23,951.86,2,3,23,2022,1,12,0,0,0,0,0,58.6,0,0,1,Electronics,S002,210
2022-03-24,1004.58,3,3,24,2022,1,12,0,0,0,0,0,59.4,0,1,0,Home,S001,216
2022-03-25,1046.41,4,3,25,2022,1,12,0,0,0,0,0,70.0,0,0,1,Food,S001,224
2022-03-26,1100.57,5,3,26,2022,1,12,1,0,0,0,0,68.3,0,1,0,Food,S001,219
2022-03-27,1181.48,6,3,27,2022,1,12,1,0,0,0,0,67.0,0,1,0,Food,S001,254
2022-03-28,970.5,0,3,28,2022,1,13,0,0,0,0,0,70.1,0,0,1,Food,S002,203
2022-03-29,1125.83,1,3,29,2022,1,13,0,0,0,0,0,55.3,0,0,2,Home,S002,232
2022-03-30,976.95,2,3,30,2022,1,13,0,0,0,0,0,65.0,0,0,3,Clothing,S003,211
2022-03-31,1129.11,3,3,31,2022,1,13,0,0,1,0,1,59.1,0,0,4,Home,S001,220
2022-04-01,1054.74,4,4,1,2022,2,13,0,1,0,1,0,56.4,0,0,5,Clothing,S003,194
2022-04-02,1253.05,5,4,2,2022,2,13,1,0,0,0,0,64.8,0,0,6,Clothing,S001,238
2022-04-03,1153.39,6,4,3,2022,2,13,1,0,0,0,0,70.5,0,0,7,Electronics,S001,232
2022-04-04,1111.41,0,4,4,2022,2,14,0,0,0,0,0,64.5,0,0,8,Electronics,S002,210
2022-04-05,954.84,1,4,5,2022,2,14,0,0,0,0,0,58.2,0,0,9,Food,S002,179
2022-04-06,960.76,2,4,6,2022,2,14,0,0,0,0,0,66.2,0,0,10,Food,S001,195
2022-04-07,956.86,3,4,7,2022,2,14,0,0,0,0,0,70.0,0,0,11,Home,S001,196
2022-04-08,957.41,4,4,8,2022,2,14,0,0,0,0,0,59.4,0,0,12,Food,S002,209
2022-04-09,1246.57,5,4,9,2022,2,14,1,0,0,0,0,73.1,0,0,13,Food,S003,247
2022-04-10,1223.2,6,4,10,2022,2,14,1,0,0,0,0,71.8,0,1,0,Clothing,S003,260
2022-04-11,951.89,0,4,11,2022,2,15,0,0,0,0,0,63.7,0,0,1,Home,S002,171
2022-04-12,949.52,1,4,12,2022,2,15,0,0,0,0,0,57.5,0,0,2,Food,S001,180
2022-04-13,1082.66,2,4,13,2022,2,15,0,0,0,0,0,62.8,0,0,3,Electronics,S002,228
2022-04-14,1097.81,3,4,14,2022,2,15,0,0,0,0,0,62.9,0,0,4,Food,S003,203
2022-04-15,1098.63,4,4,15,2022,2,15,0,0,0,0,0,61.3,1,0,5,Food,S003,226
2022-04-16,1213.63,5,4,16,2022,2,15,1,0,0,0,0,60.8,1,1,0,Electronics,S001,247
2022-04-17,1151.37,6,4,17,2022,2,15,1,0,0,0,0,66.1,1,0,1,Home,S001,246
2022-04-18,1069.16,0,4,18,2022,2,16,0,0,0,0,0,73.6,0,0,2,Electronics,S002,224
2022-04-19,1106.5,1,4,19,2022,2,16,0,0,0,0,0,62.5,0,1,0,Electronics,S003,202
2022-04-20,958.8,2,4,20,2022,2,16,0,0,0,0,0,71.9,0,0,1,Clothing,S001,191
2022-04-21,954.91,3,4,21,2022,2,16,0,0,0,0,0,66.5,0,1,0,Home,S001,192
2022-04-22,1109.98,4,4,22,2022,2,16,0,0,0,0,0,63.7,0,0,1,Electronics,S001,230
2022-04-23,1107.26,5,4,23,2022,2,16,1,0,0,0,0,55.2,0,0,2,Home,S001,224
2022-04-24,1330.41,6,4,24,2022,2,16,1,0,0,0,0,65.1,0,0,3,Electronics,S003,247
2022-04-25,1000.24,0,4,25,2022,2,17,0,0,0,0,0,55.1,0,0,4,Food,S002,187
2022-04-26,1066.31,1,4,26,2022,2,17,0,0,0,0,0,68.3,0,0,5,Home,S003,231
2022-04-27,1060.09,2,4,27,2022,2,17,0,0,0,0,0,67.5,0,0,6,Food,S003,193
2022-04-28,1024.91,3,4,28,2022,2,17,0,0,0,0,0,55.8,0,0,7,Home,S003,197
2022-04-29,1025.92,4,4,29,2022,2,17,0,0,0,0,0,56.0,0,0,8,Clothing,S003,202
2022-04-30,1213.67,5,4,30,2022,2,17,1,0,1,0,0,65.6,0,1,0,Home,S001,234
2022-05-01,1181.1,6,5,1,2022,2,17,1,1,0,0,0,58.6,0,1,0,Electronics,S001,228
2022-05-02,1021.37,0,5,2,2022,2,18,0,0,0,0,0,63.3,0,0,1,Clothing,S002,197
2022-05-03,1161.06,1,5,3,2022,2,18,0,0,0,0,0,67.9,0,0,2,Food,S003,234
2022-05-04,1060.65,2,5,4,2022,2,18,0,0,0,0,0,71.4,0,0,3,Electronics,S002,204
2022-05-05,1070.87,3,5,5,2022,2,18,0,0,0,0,0,62.4,0,0,4,Food,S002,231
2022-05-06,1124.47,4,5,6,2022,2,18,0,0,0,0,0,64.8,0,0,5,Home,S001,217
2022-05-07,1311.38,5,5,7,2022,2,18,1,0,0,0,0,59.6,0,0,6,Home,S003,263
2022-05-08,1137.46,6,5,8,2022,2,18,1,0,0,0,0,59.5,0,0,7,Electronics,S001,217
2022-05-09,1099.79,0,5,9,2022,2,19,0,0,0,0,0,63.3,0,0,8,Clothing,S002,203
2022-05-10,1143.7,1,5,10,2022,2,19,0,0,0,0,0,67.2,0,0,9,Food,S002,224
2022-05-11,1026.95,2,5,11,2022,2,19,0,0,0,0,0,59.4,0,0,10,Clothing,S003,218
2022-05-12,1152.53,3,5,12,2022,2,19,0,0,0,0,0,60.6,0,1,0,Clothing,S001,242
2022-05-13,1014.51,4,5,13,2022,2,19,0,0,0,0,0,57.7,0,0,1,Food,S003,189
2022-05-14,1295.86,5,5,14,2022,2,19,1,0,0,0,0,74.2,0,0,2,Electronics,S001,240
2022-05-15,1334.27,6,5,15,2022,2,19,1,0,0,0,0,72.0,0,0,3,Food,S001,256
2022-05-16,1162.47,0,5,16,2022,2,20,0,0,0,0,0,61.0,0,0,4,Electronics,S003,226
2022-05-17,998.59,1,5,17,2022,2,20,0,0,0,0,0,55.5,0,0,5,Home,S002,217
2022-05-18,1139.64,2,5,18,2022,2,20,0,0,0,0,0,59.0,0,0,6,Electronics,S003,220
2022-05-19,1173.68,3,5,19,2022,2,20,0,0,0,0,0,71.1,0,0,7,Clothing,S003,255
2022-05-20,1168.72,4,5,20,2022,2,20,0,0,0,0,0,70.5,0,0,8,Electronics,S001,239
2022-05-21,1299.37,5,5,21,2022,2,20,1,0,0,0,0,59.0,0,0,9,Clothing,S003,246
2022-05-22,1143.19,6,5,22,2022,2,20,1,0,0,0,0,65.0,0,1,0,Clothing,S002,225
2022-05-23,1165.34,0,5,23,2022,2,21,0,0,0,0,0,66.5,0,0,1,Home,S001,242
2022-05-24,1102.73,1,5,24,2022,2,21,0,0,0,0,0,55.8,0,0,2,Home,S001,209
2022-05-25,1110.62,2,5,25,2022,2,21,0,0,0,0,0,56.9,0,0,3,Electronics,S003,207
2022-05-26,969.99,3,5,26,2022,2,21,0,0,0,0,0,70.4,0,0,4,Food,S001,193
2022-05-27,1124.33,4,5,27,2022,2,21,0,0,0,0,0,64.2,0,1,0,Clothing,S002,217
2022-05-28,1214.38,5,5,28,2022,2,21,1,0,0,0,0,58.0,0,0,1,Food,S001,254
2022-05-29,1346.77,6,5,29,2022,2,21,1,0,0,0,0,60.1,0,0,2,Home,S002,252
2022-05-30,1145.48,0,5,30,2022,2,22,0,0,0,0,0,65.9,1,0,3,Electronics,S003,214
2022-05-31,999.36,1,5,31,2022,2,22,0,0,1,0,0,69.8,0,0,4,Clothing,S002,216
2022-06-01,1181.81,2,6,1,2022,2,22,0,1,0,0,0,77.3,0,0,5,Food,S001,242
2022-06-02,1266.82,3,6,2,2022,2,22,0,0,0,0,0,93.4,0,1,0,Electronics,S001,249
2022-06-03,1299.48,4,6,3,2022,2,22,0,0,0,0,0,88.9,0,0,1,Food,S003,251
2022-06-04,1449.94,5,6,4,2022,2,22,1,0,0,0,0,79.4,0,0,2,Electronics,S001,300
2022-06-05,1435.07,6,6,5,2022,2,22,1,0,0,0,0,76.7,0,0,3,Food,S001,273
2022-06-06,1385.63,0,6,6,2022,2,23,0,0,0,0,0,75.2,0,1,0,Food,S003,266
2022-06-07,1293.65,1,6,7,2022,2,23,0,0,0,0,0,77.4,0,1,0,Home,S001,267
2022-06-08,1377.11,2,6,8,2022,2,23,0,0,0,0,0,92.9,0,0,1,Food,S002,282
2022-06-09,1366.07,3,6,9,2022,2,23,0,0,0,0,0,85.3,0,1,0,Clothing,S002,285
2022-06-10,1379.54,4,6,10,2022,2,23,0,0,0,0,0,83.2,0,0,1,Electronics,S003,262
2022-06-11,1356.91,5,6,11,2022,2,23,1,0,0,0,0,90.2,0,0,2,Electronics,S001,255
2022-06-12,1429.58,6,6,12,2022,2,23,1,0,0,0,0,87.8,0,0,3,Home,S001,285
2022-06-13,1228.25,0,6,13,2022,2,24,0,0,0,0,0,81.2,0,0,4,Electronics,S003,263
2022-06-14,1275.09,1,6,14,2022,2,24,0,0,0,0,0,83.1,0,0,5,Food,S003,272
2022-06-15,1261.57,2,6,15,2022,2,24,0,0,0,0,0,81.8,0,1,0,Clothing,S001,240
2022-06-16,1255.42,3,6,16,2022,2,24,0,0,0,0,0,92.3,0,1,0,Home,S003,257
2022-06-17,1382.32,4,6,17,2022,2,24,0,0,0,0,0,77.4,0,0,1,Home,S002,259
2022-06-18,1483.8,5,6,18,2022,2,24,1,0,0,0,0,87.8,0,0,2,Food,S003,284
2022-06-19,1623.77,6,6,19,2022,2,24,1,0,0,0,0,81.2,0,0,3,Home,S002,300
2022-06-20,1248.2,0,6,20,2022,2,25,0,0,0,0,0,89.7,0,0,4,Home,S001,231
2022-06-21,1295.22,1,6,21,2022,2,25,0,0,0,0,0,93.5,0,0,5,Home,S003,246
2022-06-22,1355.26,2,6,22,2022,2,25,0,0,0,0,0,94.8,0,1,0,Home,S003,283
2022-06-23,1295.12,3,6,23,2022,2,25,0,0,0,0,0,87.6,0,0,1,Clothing,S001,278
2022-06-24,1297.98,4,6,24,2022,2,25,0,0,0,0,0,84.8,0,0,2,Home,S003,278
2022-06-25,1622.59,5,6,25,2022,2,25,1,0,0,0,0,76.8,0,0,3,Electronics,S002,300
2022-06-26,1442.29,6,6,26,2022,2,25,1,0,0,0,0,76.7,0,0,4,Clothing,S001,295
2022-06-27,1325.13,0,6,27,2022,2,26,0,0,0,0,0,85.7,0,0,5,Home,S001,279
2022-06-28,1427.98,1,6,28,2022,2,26,0,0,0,0,0,77.9,0,0,6,Food,S002,300
2022-06-29,1426.94,2,6,29,2022,2,26,0,0,0,0,0,83.2,0,0,7,Food,S002,268
2022-06-30,1367.76,3,6,30,2022,2,26,0,0,1,0,1,84.3,0,1,0,Food,S002,288
2022-07-01,1395.57,4,7,1,2022,3,26,0,1,0,1,0,92.7,0,0,1,Home,S003,284
2022-07-02,1637.18,5,7,2,2022,3,26,1,0,0,0,0,80.4,0,0,2,Food,S002,300
2022-07-03,1557.15,6,7,3,2022,3,26,1,0,0,0,0,85.0,0,0,3,Electronics,S001,297
2022-07-04,1231.18,0,7,4,2022,3,27,0,0,0,0,0,90.4,1,0,4,Food,S001,228
2022-07-05,1372.04,1,7,5,2022,3,27,0,0,0,0,0,78.6,0,0,5,Home,S002,277
2022-07-06,1287.69,2,7,6,2022,3,27,0,0,0,0,0,79.3,0,0,6,Food,S002,245
2022-07-07,1416.72,3,7,7,2022,3,27,0,0,0,0,0,76.4,0,0,7,Clothing,S003,269
2022-07-08,1324.8,4,7,8,2022,3,27,0,0,0,0,0,84.0,0,0,8,Electronics,S003,280
2022-07-09,1644.06,5,7,9,2022,3,27,1,0,0,0,0,86.3,0,1,0,Food,S002,300
2022-07-10,1451.89,6,7,10,2022,3,27,1,0,0,0,0,86.0,0,0,1,Home,S003,275
2022-07-11,1398.58,0,7,11,2022,3,28,0,0,0,0,0,76.0,0,0,2,Home,S003,272
2022-07-12,1446.68,1,7,12,2022,3,28,0,0,0,0,0,94.4,0,0,3,Food,S001,282
2022-07-13,1333.56,2,7,13,2022,3,28,0,0,0,0,0,78.7,0,1,0,Electronics,S003,266
2022-07-14,1398.38,3,7,14,2022,3,28,0,0,0,0,0,91.1,0,0,1,Clothing,S001,290
2022-07-15,1385.9,4,7,15,2022,3,28,0,0,0,0,0,88.5,0,0,2,Electronics,S001,263
2022-07-16,1575.7,5,7,16,2022,3,28,1,0,0,0,0,84.0,0,0,3,Electronics,S001,296
2022-07-17,1477.45,6,7,17,2022,3,28,1,0,0,0,0,78.4,0,0,4,Clothing,S001,300
2022-07-18,1279.79,0,7,18,2022,3,29,0,0,0,0,0,82.7,0,0,5,Home,S003,236
2022-07-19,1313.37,1,7,19,2022,3,29,0,0,0,0,0,91.1,0,0,6,Clothing,S003,248
2022-07-20,1246.78,2,7,20,2022,3,29,0,0,0,0,0,90.7,0,1,0,Home,S002,254
2022-07-21,1359.96,3,7,21,2022,3,29,0,0,0,0,0,77.1,0,1,0,Electronics,S001,271
2022-07-22,1256.59,4,7,22,2022,3,29,0,0,0,0,0,83.1,0,0,1,Clothing,S001,253
2022-07-23,1458.71,5,7,23,2022,3,29,1,0,0,0,0,93.9,0,0,2,Home,S003,285
2022-07-24,1410.06,6,7,24,2022,3,29,1,0,0,0,0,93.0,0,1,0,Electronics,S002,268
2022-07-25,1281.03,0,7,25,2022,3,30,0,0,0,0,0,91.0,0,1,0,Home,S002,269
2022-07-26,1425.15,1,7,26,2022,3,30,0,0,0,0,0,94.5,0,0,1,Food,S003,285
2022-07-27,1300.77,2,7,27,2022,3,30,0,0,0,0,0,87.8,0,0,2,Food,S003,265
2022-07-28,1243.79,3,7,28,2022,3,30,0,0,0,0,0,86.8,0,0,3,Clothing,S001,252
2022-07-29,1346.53,4,7,29,2022,3,30,0,0,0,0,0,75.3,0,0,4,Food,S003,276
2022-07-30,1623.7,5,7,30,2022,3,30,1,0,0,0,0,80.9,0,0,5,Home,S003,300
2022-07-31,1434.88,6,7,31,2022,3,30,1,0,1,0,0,76.3,0,1,0,Clothing,S001,296
2022-08-01,1084.81,0,8,1,2022,3,31,0,1,0,0,0,92.7,0,0,1,Food,S003,202
2022-08-02,1168.62,1,8,2,2022,3,31,0,0,0,0,0,84.5,0,1,0,Electronics,S001,222
2022-08-03,1045.21,2,8,3,2022,3,31,0,0,0,0,0,79.1,0,0,1,Clothing,S001,191
2022-08-04,1093.52,3,8,4,2022,3,31,0,0,0,0,0,89.5,0,1,0,Clothing,S003,222
2022-08-05,1160.64,4,8,5,2022,3,31,0,0,0,0,0,84.0,0,1,0,Electronics,S001,224
2022-08-06,1259.47,5,8,6,2022,3,31,1,0,0,0,0,90.6,0,0,1,Clothing,S001,272
2022-08-07,1389.63,6,8,7,2022,3,31,1,0,0,0,0,88.6,0,0,2,Clothing,S001,264
2022-08-08,1119.54,0,8,8,2022,3,32,0,0,0,0,0,79.2,0,0,3,Home,S003,208
2022-08-09,1024.93,1,8,9,2022,3,32,0,0,0,0,0,75.8,0,0,4,Electronics,S003,202
2022-08-10,1189.05,2,8,10,2022,3,32,0,0,0,0,0,90.1,0,1,0,Home,S001,233
2022-08-11,1133.41,3,8,11,2022,3,32,0,0,0,0,0,93.4,0,0,1,Home,S001,234
2022-08-12,1110.54,4,8,12,2022,3,32,0,0,0,0,0,86.2,0,0,2,Electronics,S001,210
2022-08-13,1340.47,5,8,13,2022,3,32,1,0,0,0,0,82.7,0,0,3,Clothing,S001,284
2022-08-14,1309.63,6,8,14,2022,3,32,1,0,0,0,0,81.7,0,0,4,Food,S002,273
2022-08-15,1038.57,0,8,15,2022,3,33,0,0,0,0,0,79.8,0,0,5,Home,S003,201
2022-08-16,1029.87,1,8,16,2022,3,33,0,0,0,0,0,83.8,0,0,6,Electronics,S003,201
2022-08-17,1067.4,2,8,17,2022,3,33,0,0,0,0,0,89.6,0,0,7,Home,S003,225
2022-08-18,1141.27,3,8,18,2022,3,33,0,0,0,0,0,92.2,0,1,0,Food,S002,243
2022-08-19,1134.96,4,8,19,2022,3,33,0,0,0,0,0,76.2,0,0,1,Electronics,S002,211
2022-08-20,1382.72,5,8,20,2022,3,33,1,0,0,0,0,86.8,0,0,2,Clothing,S003,267
2022-08-21,1381.8,6,8,21,2022,3,33,1,0,0,0,0,81.7,0,1,0,Electronics,S001,296
2022-08-22,1212.09,0,8,22,2022,3,34,0,0,0,0,0,85.5,0,0,1,Food,S003,228
2022-08-23,1018.83,1,8,23,2022,3,34,0,0,0,0,0,92.4,0,0,2,Clothing,S001,196
2022-08-24,1163.88,2,8,24,2022,3,34,0,0,0,0,0,83.9,0,0,3,Food,S003,235
2022-08-25,1101.15,3,8,25,2022,3,34,0,0,0,0,0,87.6,0,0,4,Food,S002,213
2022-08-26,1084.55,4,8,26,2022,3,34,0,0,0,0,0,88.2,0,0,5,Electronics,S002,220
2022-08-27,1308.79,5,8,27,2022,3,34,1,0,0,0,0,94.7,0,0,6,Clothing,S002,265
2022-08-28,1252.8,6,8,28,2022,3,34,1,0,0,0,0,80.5,0,0,7,Home,S003,242
2022-08-29,1015.47,0,8,29,2022,3,35,0,0,0,0,0,79.6,0,1,0,Electronics,S003,208
2022-08-30,1019.37,1,8,30,2022,3,35,0,0,0,0,0,81.3,0,0,1,Home,S002,211
2022-08-31,1081.35,2,8,31,2022,3,35,0,0,1,0,0,90.3,0,0,2,Electronics,S002,201
2022-09-01,1225.37,3,9,1,2022,3,35,0,1,0,0,0,68.2,0,0,3,Home,S001,232
2022-09-02,1197.17,4,9,2,2022,3,35,0,0,0,0,0,64.4,0,1,0,Clothing,S003,231
2022-09-03,1301.53,5,9,3,2022,3,35,1,0,0,0,0,69.0,0,1,0,Clothing,S003,257
2022-09-04,1355.38,6,9,4,2022,3,35,1,0,0,0,0,64.4,0,1,0,Electronics,S002,280
2022-09-05,1155.82,0,9,5,2022,3,36,0,0,0,0,0,60.3,1,1,0,Clothing,S003,213
2022-09-06,1123.67,1,9,6,2022,3,36,0,0,0,0,0,61.9,0,0,1,Home,S003,219
2022-09-07,1193.7,2,9,7,2022,3,36,0,0,0,0,0,75.9,0,1,0,Home,S002,240
2022-09-08,1034.46,3,9,8,2022,3,36,0,0,0,0,0,77.5,0,1,0,Electronics,S003,213
2022-09-09,1113.17,4,9,9,2022,3,36,0,0,0,0,0,70.3,0,0,1,Electronics,S003,235
2022-09-10,1196.19,5,9,10,2022,3,36,1,0,0,0,0,66.6,0,0,2,Clothing,S001,222
2022-09-11,1226.22,6,9,11,2022,3,36,1,0,0,0,0,61.5,0,0,3,Food,S001,247
2022-09-12,1134.22,0,9,12,2022,3,37,0,0,0,0,0,79.3,0,1,0,Electronics,S002,222
